ID,Sex,Sex Label,Characteristics,Characteristics Label,Periods,Period Label,VictimsMurderManslaughter_1,VictimsMurderManslaughterRelative_2
0,T001038,Total male and female,10000,Total,1996JJ00,1996,240,15.5
1,T001038,Total male and female,10000,Total,1997JJ00,1997,237,15.2
2,T001038,Total male and female,10000,Total,1998JJ00,1998,208,13.2
3,T001038,Total male and female,10000,Total,1999JJ00,1999,230,14.5
4,T001038,Total male and female,10000,Total,2000JJ00,2000,223,14
5,T001038,Total male and female,10000,Total,2001JJ00,2001,264,16.5
6,T001038,Total male and female,10000,Total,2002JJ00,2002,224,13.9
7,T001038,Total male and female,10000,Total,2003JJ00,2003,247,15.2
8,T001038,Total male and female,10000,Total,2004JJ00,2004,223,13.7
9,T001038,Total male and female,10000,Total,2005JJ00,2005,197,12.1
10,T001038,Total male and female,10000,Total,2006JJ00,2006,159,9.7
11,T001038,Total male and female,10000,Total,2007JJ00,2007,164,10
12,T001038,Total male and female,10000,Total,2008JJ00,2008,176,10.7
13,T001038,Total male and female,10000,Total,2009JJ00,2009,175,10.6
14,T001038,Total male and female,10000,Total,2010JJ00,2010,158,9.5
15,T001038,Total male and female,10000,Total,2011JJ00,2011,165,9.9
16,T001038,Total male and female,10000,Total,2012JJ00,2012,157,9.4
17,T001038,Total male and female,10000,Total,2013JJ00,2013,147,8.7
18,T001038,Total male and female,10000,Total,2014JJ00,2014,144,8.5
19,T001038,Total male and female,10000,Total,2015JJ00,2015,120,7.1
20,T001038,Total male and female,10000,Total,2016JJ00,2016,108,6.3
21,T001038,Total male and female,10000,Total,2017JJ00,2017,158,9.2
22,T001038,Total male and female,10000,Total,2018JJ00,2018,119,6.9
23,T001038,Total male and female,10000,Total,2019JJ00,2019,125,7.2
24,T001038,Total male and female,10000,Total,2020JJ00,2020,121,6.9
25,T001038,Total male and female,10000,Total,2021JJ00,2021,126,7.2
26,T001038,Total male and female,10000,Total,2022JJ00,2022,143,8.1
27,T001038,Total male and female,10000,Total,2023JJ00,2023,125,7
28,T001038,Total male and female,41400,Age: younger than 20 years,1996JJ00,1996,29,7.7
29,T001038,Total male and female,41400,Age: younger than 20 years,1997JJ00,1997,36,9.5
30,T001038,Total male and female,41400,Age: younger than 20 years,1998JJ00,1998,26,6.8
31,T001038,Total male and female,41400,Age: younger than 20 years,1999JJ00,1999,26,6.7
32,T001038,Total male and female,41400,Age: younger than 20 years,2000JJ00,2000,27,6.9
33,T001038,Total male and female,41400,Age: younger than 20 years,2001JJ00,2001,25,6.4
34,T001038,Total male and female,41400,Age: younger than 20 years,2002JJ00,2002,28,7.1
35,T001038,Total male and female,41400,Age: younger than 20 years,2003JJ00,2003,30,7.5
36,T001038,Total male and female,41400,Age: younger than 20 years,2004JJ00,2004,25,6.3
37,T001038,Total male and female,41400,Age: younger than 20 years,2005JJ00,2005,27,6.8
38,T001038,Total male and female,41400,Age: younger than 20 years,2006JJ00,2006,23,5.8
39,T001038,Total male and female,41400,Age: younger than 20 years,2007JJ00,2007,28,7.1
